| 14  19  10  73 | | 38  97  24  16 | | 52 116  34  89 |
| 36   2  87  26 | | 90  28  61  93 | |126  30 148 119 |
| 73  17  73  36 |+| 18  72  69  21 |=| 91  89 142  57 |
| 93  50  35  73 | | 23  73  53  49 | |116 123  88 122 |
| 91  46  82  83 | | 58  67  85  84 | |149 113 167 167 |

| 11  11  19  22 | | 27  37  84  94 | | 38  48 103 116 |
| 22  72  14  70 |+| 94  58  31  83 |=|116 130  45 153 |
| 70  84  98  66 | | 83   8  40   9 | |153  92 138  75 |

| 94  97   6 | | 55  34  74 | |149 131  80 |
| 61  10   1 | | 17  46  98 | | 78  56  99 |
| 49  91  47 |+| 90  88  71 |=|139 179 118 |
| 18  68  43 | | 61  54  17 | | 79 122  60 |

| 57  50   6  44 | | 94  29  44  91 | |151  79  50 135 |
| 44  42  74  15 |+| 91   4  18 100 |=|135  46  92 115 |
| 15  30  87   8 | |100  72  78  71 | |115 102 165  79 |

| 91  94  89  14  52 | | 48  18  17  30  58 | |139 112 106  44 110 |
| 14  52  87   1  44 |+| 30  58  60  59  32 |=| 44 110 147  60  76 |
|  1  44  30  76  67 | | 59  32  97   4  80 | | 60  76 127  80 147 |

