| 24   7  62 | | 67  57  80 | | 91  64 142 |
|  4  86   2 | | 76  46  14 | | 80 132  16 |
| 32  57  39 |+| 82  38  75 |=|114  95 114 |
|  3   7  24 | | 87  89  75 | | 90  96  99 |

| 66  72  79  38  19 | | 24   5  96  52 100 | | 90  77 175  90 119 |
| 31  41  35  64  91 | | 23  84  43  67  20 | | 54 125  78 131 111 |
| 72  95  83  29  42 |+| 29  75   1  73  84 |=|101 170  84 102 126 |
| 46   7  46  80   4 | | 75  85  86  50  65 | |121  92 132 130  69 |
| 49  54  85  99  56 | | 35  56  89  48  89 | | 84 110 174 147 145 |

| 18  68  29  39 | | 62  67  97  38 | | 80 135 126  77 |
| 81  79  36   6 | | 52  54  91  82 | |133 133 127  88 |
| 40  47  11  10 |+| 10  55   0  97 |=| 50 102  11 107 |
| 90  44  63  38 | |  8  11  12  47 | | 98  55  75  85 |

| 13  68  74 | | 36  53  14 | | 49 121  88 |
|  4  69   8 |+| 18   6  75 |=| 22  75  83 |
| 88  51   2 | | 48  34  62 | |136  85  64 |

| 58  87   1  81 | | 91  69  15   5 | |149 156  16  86 |
| 29  77  22  61 | | 87  42  10  62 | |116 119  32 123 |
| 25  80  37  34 |+| 31  60  54  25 |=| 56 140  91  59 |
|  1  25  12  48 | | 51  70  26  37 | | 52  95  38  85 |

|  5  16  55 | | 84  52  45 | | 89  68 100 |
| 38  53  42 |+| 31  27  81 |=| 69  80 123 |
| 89  11  93 | | 33  35  49 | |122  46 142 |

| 40  43  26 | | 57  31  21 | | 97  74  47 |
| 58  58  41 |+| 75  40  63 |=|133  98 104 |
| 91  14  68 | | 57  45  19 | |148  59  87 |

| 46  68  84  35  34 | | 85   0  79  76 100 | |131  68 163 111 134 |
| 34  47  31  64  95 | |100  43  73  89  55 | |134  90 104 153 150 |
| 95  51  78  97 100 |+| 55  85  32  12  63 |=|150 136 110 109 163 |
|100  23  63  11  48 | | 63  33   6  65  72 | |163  56  69  76 120 |

| 71  91  40  56  42 | |  1   1  54  54  17 | | 72  92  94 110  59 |
| 75  68  92  30   2 | | 60  18  64   8  96 | |135  86 156  38  98 |
| 37  28  98  30  78 |+| 25  66   6  11  85 |=| 62  94 104  41 163 |
| 59  52  16  70  12 | | 14  15  93  38  78 | | 73  67 109 108  90 |
| 55   3  71  87  35 | | 87  23  61  68  90 | |142  26 132 155 125 |

| 81  38  64 | | 58  45  34 | |139  83  98 |
| 56  19  21 |+|  7  82  71 |=| 63 101  92 |
| 97  29  42 | |  3  32  41 | |100  61  83 |

| 94  86  41  95 | | 80  65  39  61 | |174 151  80 156 |
| 95  48  85  52 |+| 61  41  52   8 |=|156  89 137  60 |
| 52  21  56   8 | |  8  71   9  18 | | 60  92  65  26 |

| 51  45  84  73 | | 20  94  38  35 | | 71 139 122 108 |
| 69  40  56  28 | | 13  67   0  70 | | 82 107  56  98 |
| 42  21  27  68 |+| 12  94  39  14 |=| 54 115  66  82 |
| 10  23  42  54 | | 23  85   2  59 | | 33 108  44 113 |
| 22  52   3  74 | | 99  72  91  72 | |121 124  94 146 |

| 39  14  96 | | 26  33  22 | | 65  47 118 |
| 11  15  21 | | 83  38  84 | | 94  53 105 |
| 19   6  48 |+| 98  42  14 |=|117  48  62 |
| 10  39  67 | |  2 100  91 | | 12 139 158 |
| 37  48   8 | | 70  10  18 | |107  58  26 |

| 44  46  93 | | 71  39  57 | |115  85 150 |
| 88  62  57 | |  7   8  81 | | 95  70 138 |
| 73  89  44 |+| 64  20 100 |=|137 109 144 |
| 22  65  40 | | 84  90   1 | |106 155  41 |
| 25  12  72 | | 54  33  69 | | 79  45 141 |

| 39  20  15  83 | | 58  31   7  62 | | 97  51  22 145 |
| 83  23  92  43 |+| 62  55  78  64 |=|145  78 170 107 |
| 43  85  19   9 | | 64   7  92  44 | |107  92 111  53 |

| 44  56  99 | | 84  90  95 | |128 146 194 |
| 14  92  59 | | 86  96  96 | |100 188 155 |
| 38  57  62 |+| 41  27  14 |=| 79  84  76 |
|  4  16  67 | | 37  48  67 | | 41  64 134 |

| 58  96  17 | | 30  70  39 | | 88 166  56 |
| 53  96  33 | | 73  17  76 | |126 113 109 |
|  2  71  87 |+| 24  62   8 |=| 26 133  95 |
| 69  35  24 | |  9  31   5 | | 78  66  29 |
| 34  53   6 | | 40   0  75 | | 74  53  81 |

|  4  67  19 | | 13  89  19 | | 17 156  38 |
| 61   2  56 | | 81  61   5 | |142  63  61 |
| 51  33  34 |+| 26  37  68 |=| 77  70 102 |
| 47  99  40 | | 35  71  32 | | 82 170  72 |

